model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy
2023,car,conv,26.5,7.7,620,27.83,5,14.7323032698527,0
2023,suv,conv,33.825,7.2,511,22.07,5,18.5772541912098,0
2023,truck,conv,32.82,7.2,555,17.72,5,23.13769751693,0
2023,van,conv,22.95,10.3,480,27.48,5,14.919941775837,0
2023,car,ev,59.843,5.7,255,122.764,547,4.4,70
2023,suv,ev,53.858,4.7,335,152.561,578,3.5,74
2023,car,hybrid,34.056,8.9,861,43.89,5,9.34153565732513,0.5
2023,suv,hybrid,45.206,7.7,953,41.23,5,9.94421537715256,1.4
2023,truck,hybrid,30.241,10.4,667,47.35,5,8.65892291446674,1.3
2023,car,phev,34.765,7.6,846,43.84,315,4.9,17.3
2023,suv,phev,36.08,6.7,889,40.6,315,5.6,17.3
2023,truck,phev,39.158,7.7,829,33.97,315,6.9,17.3
2024,car,conv,26.5,7.7,620,28.15,5,14.5648312611012,0
2024,suv,conv,33.825,7.2,511,22.33,5,18.3609493954322,0
2024,truck,conv,33.59,8.3,588,19,5,21.5789473684211,0
2024,van,conv,22.95,10.3,480,27.79,5,14.7535084562792,0
2024,car,ev,39.322,5,377,159.81,621,3.3,79.5
2024,suv,ev,46.359,4.7,335,152.561,578,3.4,74
2024,car,hybrid,33.761,8.9,861,45.5,5,9.01098901098901,0.5
2024,suv,hybrid,44.458,7.7,953,42.77,5,9.58615852232873,1.4
2024,truck,hybrid,29.552,10.4,667,49.1,5,8.35030549898167,1.3
2024,car,phev,37.503,8,820,44.7,291,5.2,16
2024,suv,phev,32.785,6.7,889,42.22,315,5.4,17.3
2024,truck,phev,35.863,7.7,829,35.3,315,6.6,17.3
2025,car,conv,26.5,7.7,620,28.47,5,14.4011239901651,0
2025,suv,conv,33.825,7.2,511,22.58,5,18.1576616474756,0
2025,truck,conv,33.59,8.3,588,19.22,5,21.3319458896982,0
2025,van,conv,22.95,10.3,480,28.11,5,14.5855567413732,0
2025,car,ev,32.117,5,377,159.81,621,3.2,79.5
2025,suv,ev,41.441,4.8,338,130.776,680,4,87.1
2025,car,hybrid,33.49,8.9,861,47.12,5,8.70118845500849,0.5
2025,suv,hybrid,43.776,7.6,953,44.31,5,9.25299029564432,1.4
2025,truck,hybrid,28.924,10.4,667,50.87,5,8.05976017298997,1.3
2025,car,phev,34.704,8,820,46.39,291,5.1,16
2025,suv,phev,29.835,6.7,889,43.85,315,5.3,17.3
2025,truck,phev,32.914,7.7,829,36.64,315,6.5,17.3
2026,car,conv,26.5,7.7,620,28.79,5,14.2410559221952,0
2026,suv,conv,33.825,7.2,511,22.84,5,17.9509632224168,0
2026,truck,conv,33.59,8.3,588,19.44,5,21.0905349794239,0
2026,van,conv,22.95,10.3,480,28.43,5,14.421385860007,0
2026,car,ev,35.03,5.8,301,109.307,725,4.6,92.8
2026,suv,ev,40.763,4.7,338,130.776,680,3.9,87.1
2026,car,hybrid,31.739,8.9,805,44.09,5,9.29916080743933,0.5
2026,suv,hybrid,43.706,7.6,953,44.35,5,9.24464487034949,1.4
2026,truck,hybrid,28.87,10.4,667,50.9,5,8.05500982318271,1.3
2026,car,phev,34.485,7.9,820,46.67,291,5.1,16
2026,suv,phev,29.473,5.9,763,35.59,487,5.5,26.8
2026,truck,phev,32.682,7.7,829,36.8,315,6.5,17.3
2027,car,conv,25.72,8.2,560,30.82,5,13.3030499675535,0
2027,suv,conv,33.825,7.2,511,23.1,5,17.7489177489178,0
2027,truck,conv,33.59,8.3,588,19.66,5,20.8545269582909,0
2027,van,conv,22.95,10.3,480,28.76,5,14.2559109874826,0
2027,car,ev,42.539,5.8,295,117.79,659,4.2,84.4
2027,suv,ev,40.084,4.7,338,130.776,680,3.8,87.1
2027,truck,ev,49.842,6,263,73.921,937,6.7,119.9
2027,car,hybrid,33.438,8.9,861,47.14,5,8.69749681798897,0.5
2027,suv,hybrid,43.635,7.6,953,44.36,5,9.24256086564472,1.4
2027,truck,hybrid,28.816,10.4,667,50.91,5,8.05342761736397,1.3
2027,car,phev,34.265,7.9,820,46.89,291,5.1,16
2027,suv,phev,29.173,5.9,763,35.76,487,5.5,26.8
2027,truck,phev,32.451,7.7,829,36.92,315,6.5,17.3
2028,car,conv,25.72,8.2,560,31.17,5,13.153673403914,0
2028,suv,conv,33.825,7.2,511,23.36,5,17.5513698630137,0
2028,truck,conv,33.59,8.3,588,19.88,5,20.6237424547284,0
2028,van,conv,22.95,10.3,480,29.08,5,14.0990371389271,0
2028,car,ev,40.366,5.7,377,112.532,882,4.4,112.9
