fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,40.8966891366319,9.95618880071219,390,34.8180050175354,5,4.56207366617507,0,437,0,0,607.096321281334
conv,car,19.24,7.6,605.61373948982,29.43,5,13.9313625552158,0,437,0,0,230985.338496648
conv,minvan,30.123,7.4,526.174410889038,21.7060029651575,5,18.889268222081,0,437,0,0,14623.285563301
conv,suv,32.02,7.5,523.209012610457,23.1833402825423,5,17.6851206304185,0,437,0,0,178058.342206643
conv,truck,31.9306806197714,7.27063441717364,555.059004828246,19.2035043773543,5,21.3502749031907,0,437,0,0,32284.6239061085
conv,van,23.173412759078,8.7257491893101,504,27.3204624173229,5,15.0070763263512,0,437,0,0,4338.52792496556
ev,car,39.833436171635,5,376.513817720331,159.721222255485,621,3.3,79.5,196.65,7500,0,17322.5248742774
ev,minvan,43.0289605116336,7.09486366112392,258,93.49,727,5.49486366112392,93,196.65,7500,0,2843.98641442605
ev,suv,43.6268598775248,5.01372584100609,329,133.120956205606,607.206279046241,3.94449807797382,77.7319134336864,196.65,7500,0,56094.4756370317
fuelcell,car,36.8909207407464,8.2,420,69.035081144732,5,10.9243503363694,1.65110767674726,196.65,0,6,1937.21204396218
fuelcell,minvan,42.390051759833,10.3,459,58.1690235908702,5,13.9017866413112,1.9,196.65,0,6,1504.2231781427
fuelcell,suv,35.5813200156302,9.95895168020725,477.844858881428,61.1343953388329,5,13.144040203983,1.8,196.65,0,6,3792.2460928658
fuelcell,truck,51.181,8.2,473,40.36,5,17.3,1.8,196.65,0,6,159.001046140341
hybrid,car,28.7799635758089,8.8,804.008121415264,51.7548017857696,5,7.92268019774642,1.3,437,0,1.5,14629.8653329248
hybrid,suv,45.2079860127793,8.0966154661403,794.722450143587,42.3895764593345,5,9.67218922769842,1.6,437,0,1.5,4667.33119900834
hybrid,truck,29.228432441015,10.4,667,50.0119658907698,5,8.20060638766696,1.3,437,0,1.5,440.070846789712
phev,car,30.6280013355994,7.6,825.7279234397,46.6135928302231,315,4.6582143055947,17.3,275.31,7500,7.5,3816.72501656225
phev,minvan,33.375883782621,8.6,799,40.0275457805817,315,5.69892967651324,17.3,275.31,7500,7.5,5217.98258280213
phev,suv,30.3567993474398,6.50758262960983,781,40.8163011693547,315,5.3,17.3,275.31,7500,7.5,62608.9199850045
phev,truck,34.3572099875437,7.7,829,35.9842179100344,315,6.54893896193773,17.3,275.31,7500,7.5,1806.29858352174
