fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,66.4847074796867,8.43356177685017,375.003709181758,30.635166674497,5,4.87241432948626,0,437,0,0,318.20957793862
cng,suv,34.3357663141209,8.72426025581291,410,33.4094285478579,5,4.52599313122812,0,437,0,0,833.607483305162
conv,car,18.957,7.6,682,32.4977697761933,5,12.6162542867057,0,437,0,0,89565.5830544247
conv,minvan,30.123,7.40670034246739,528.703465470459,23.7307325883179,5,17.2776159744515,0,437,0,0,5383.22271650017
conv,suv,33.381,7.6,568.239272817941,25.474577338032,5,16.0944864412438,0,437,0,0,56337.6444383591
conv,truck,33.5971779310667,7.5,545.065022510921,20.9700882410663,5,19.5516760010394,0,437,0,0,8291.79935012201
conv,van,23.1396456166124,9.13562802689052,494.707856502436,29.5052720627685,5,13.9038101224231,0,437,0,0,588.878531666341
ev,car,28.4245846001209,4.2,338.865627372391,155.257,577.509655701156,3.2,73.9019311402313,196.65,7500,0,165627.418291863
ev,minvan,35.9895905659878,5.8,276,85.32,923,5.7,118.1,196.65,7500,0,5236.732942553
ev,suv,38.936,4.4,339.811168842548,128.61,821,3.8,105.1,196.65,7500,0,227767.76002929
ev,truck,36.6841306632464,5.79650289893104,265.936854001491,74.7462559744189,937,6.56736828887232,119.9,196.65,7500,0,3781.3995480398
fuelcell,car,23.4610369994921,8.4,441.52080026744,72.4606995385327,5,6.53710288351242,1.8,196.65,0,6,6591.29862144589
fuelcell,minvan,35.8902477287159,10.2,459,61.691545174959,5,7.79859529549183,1.9,196.65,0,6,1860.65812135871
fuelcell,suv,32.037586844552,8.39762440352785,472,62.8396967064694,5,7.6,1.8,196.65,0,6,12478.0979381032
fuelcell,truck,46.0510567717339,8.1,473,42.319986442571,5,11.2500254201793,1.8,196.65,0,6,435.698909008697
hybrid,car,33.5862422323393,7.95014488438614,733.025653296663,49.3054024128531,5,8.31918438878591,1.32057642519294,437,0,1.5,2778.04906323459
hybrid,suv,26.8002706473407,7.93670074039479,747,46.1898539547157,5,8.87908681948678,1.74381393473374,437,0,1.5,3296.93419534273
hybrid,truck,28.607,10.4,667,51.99,5,7.88613194845163,1.3,437,0,1.5,134.578604948877
phev,car,27.204006116262,7.3474979956573,785.71906484881,49.3632925582531,315,4.8,17.3,275.31,7500,7.5,2874.58517873641
phev,minvan,31.984141971075,8.4,799,41.8841665921335,315,5.89157715766521,17.3,275.31,7500,7.5,3355.54974478116
phev,suv,27.4445792352872,6.4,758.015233581298,38.3007239360588,367.342638030124,5.4,20.1910177981754,275.31,7500,7.5,61168.0856548168
phev,truck,31.5690103149859,7.6,829,38.1099484250707,315,6.7,17.3,275.31,7500,7.5,1121.35883846707
