fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
ev,car,27.4511976407733,4.2,330.931273522415,155.756,559.883512181269,3.2,71.6178016241692,196.65,7500,0,243711.923267805
ev,minvan,34.4147812306387,5.7570099609551,297.587470145668,84.8443459251389,923.864804591467,5.82587973447138,118.21118916176,196.65,7500,0,4206.76005253338
ev,suv,38.0651313886397,4.35779140335852,374.57726203234,128.684204579146,821,3.8,105.1,196.65,7500,0,320348.029615664
ev,truck,35.5888404277983,5.72032164421893,267.85267898993,75.2846027961702,937,6.49080624692215,119.9,196.65,7500,0,5233.43632658032
fuelcell,car,22.0179944084559,8.4,442,73.2817134136887,5,5.86773812826937,1.8,196.65,0,6,8483.72766235822
fuelcell,suv,32.4635770465592,8.3,471.823969132457,63.4438227365748,5,6.92485028123203,1.8,196.65,0,6,14944.1901137963
phev,car,51.3371123492567,6.53918193751435,667.153407483666,39.9852872887129,487,5.4,26.8,275.31,7500,7.5,954.26805873549
phev,suv,27.049,5.86652393203041,755,38.9254407484587,487,5.4,26.8,275.31,7500,7.5,64595.8392857504
