fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
ev,car,26.225,4.2,330.948556829197,155.756,559,3.1,71.5,196.65,7500,0,294623.023280599
ev,minvan,37.6810837210778,5.1,276,77.575,937,6.2,119.9,196.65,7500,0,1941.39759882719
ev,suv,36.7294877280759,4.2,377,128.9,796,3.7,101.9,196.65,7500,0,358361.401184693
fuelcell,car,20.1748559801412,8.1568397568264,442,76.2506980730242,5,5.25962796399362,1.8,196.65,0,6,10567.6658523913
fuelcell,suv,26.4010323588084,7.8,463,65.4883378155645,5,6.1,1.8,196.65,0,6,6025.23562849154
phev,car,85.2218824995904,7.9,755,47.3760814064431,315,5.3,17.3,275.31,7500,7.5,358.931561534599
phev,suv,24.3014431309433,5.4,736,37.4729657960046,487,5.4,26.8,275.31,7500,7.5,3887.9249655362
