,vehicleTypeId,bodytype,modelyear,adopt_fuel,sampleProbabilityWithinCategory
0,2025_Toyota_Highlander_2WD,suv,2025,conv,0.2803002131109291
1,2025_Toyota_Highlander_2WD,suv,2025,conv,0.2803002131109291
2,2025_Ram_1500_4WDc6,truck,2025,phev,0.0028885703241963
3,2025_Ram_1500_4WDc6,truck,2025,fuelcell,0.0028885703241963
4,2025_Audi_S3c6,car,2025,cng,0.0061323207016119
5,2025_Audi_S3c6,car,2025,conv,0.0061323207016119
6,2025_Audi_S3c6,car,2025,ev,0.0061323207016119
7,2025_Audi_S3c6,car,2025,fuelcell,0.0061323207016119
8,2025_Audi_S3c6,car,2025,hybrid,0.0061323207016119
9,2025_Audi_S3c6,car,2025,phev,0.0061323207016119
10,2025_Honda_CR-V_4WDc3,suv,2025,phev,0.1185864119587377
11,2025_Chevrolet_Silverado_K15_4WD,truck,2025,conv,0.0506631915556035
12,2025_Chevrolet_Silverado_K15_4WD,truck,2025,conv,0.0506631915556035
13,2025_Chevrolet_Silverado_K15_4WD,truck,2025,conv,0.0506631915556035
14,2025_Chrysler_Town_and_Countryc4,minvan,2025,conv,0.0083659777624065
15,2025_Chrysler_Town_and_Countryc4,minvan,2025,phev,0.0083659777624065
16,2025_Chrysler_Town_and_Countryc4,minvan,2025,fuelcell,0.0083659777624065
17,2025_Honda_Odysseyc5,minvan,2025,ev,0.0028869631103023
18,2025_Honda_Odysseyc5,minvan,2025,fuelcell,0.0028869631103023
19,2025_Toyota_Prius_v,truck,2025,hybrid,0.0007101143933446
20,2025_Toyota_Sienna_2WD,minvan,2025,conv,0.0233022708834404
21,2025_Tesla_Model_3,car,2025,ev,0.0167141920234778
22,2025_Buick_LaCrosse_eAssist,car,2025,hybrid,0.0236351681536764
23,2025_Kia_Optima,car,2025,conv,0.3595472317578449
24,2025_Kia_Optima,car,2025,conv,0.3595472317578449
25,2025_Toyota_Mirai,car,2025,fuelcell,0.0034830479005711
26,2025_Chevrolet_City_Express_Cargo_Van,van,2025,conv,0.0068858211402611
27,2025_Toyota_RAV4_AWDc4,suv,2025,phev,0.0059578288336346
28,2025_Toyota_RAV4_AWDc4,suv,2025,ev,0.0059578288336346
29,2025_Toyota_RAV4_AWDc4,suv,2025,fuelcell,0.0059578288336346
30,2025_Tesla_Model_Ye3,suv,2025,ev,0.0789940109308989
31,2025_Tesla_Model_Ye3,suv,2025,ev,0.0789940109308989
32,2025_Tesla_Model_Ye3,suv,2025,ev,0.0789940109308989
33,2025_Infiniti_QX60_Hybrid_FWD,suv,2025,hybrid,0.0075949421602885
34,2020_Toyota_Highlander_2WD,suv,2020,conv,0.3240645440549929
35,2020_Toyota_Highlander_2WD,suv,2020,conv,0.3240645440549929
36,2020_Tesla_Model_Y,suv,2020,ev,0.0490853510383588
37,2020_Infiniti_QX60_Hybrid_FWD,suv,2020,hybrid,0.0079451673534757
