fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,33.4406283566477,9.8,442,38.0489731468184,5,3.8,0,437,0,0,76.9397059962175
cng,suv,34.1699048921758,8.7,408.727811159418,35.2113077296762,5,4.1,0,437,0,0,583.371766387222
conv,car,18.957,7.6,639.529110377403,34.8380091235,5,11.7687553250816,0,437,0,0,69820.8747608148
conv,minvan,31.5860804531157,7.4,525,25.2974739527762,5,16.2071921305897,0,437,0,0,4004.47655470517
conv,suv,34.4690007150653,7.5,531.82531169961,26.32,5,15.5775075987842,0,437,0,0,43826.8596196907
conv,truck,35.034,7.2,561,22.3991935279253,5,18.3087899570243,0,437,0,0,5311.03954926359
conv,van,23.125,8.5,504,32.3395142102889,5,12.6780219734337,0,437,0,0,1308.37434946998
ev,car,26.2158172902852,4.2,339,155.09995891741,578,3.1,74,196.65,7500,0,242658.072580885
ev,minvan,33.3988198681374,5.8,276,85.32,923,5.6,118.1,196.65,7500,0,2367.52589247205
ev,suv,36.49,4,380.103848878248,128.602088571021,821,3.7,105.1,196.65,7500,0,259015.980333761
ev,truck,33.7859221153146,5.6,272,76.45,937,6.3,119.9,196.65,7500,0,3678.28056954987
fuelcell,car,19.9695184579407,7.89619624216323,442,75.4622116681548,5,5.32696531970191,1.8,196.65,0,6,3008.98798925427
fuelcell,minvan,32.5608206609908,10.1169814393745,459.33962878749,64.1781389058492,5,6.21070964841128,1.9,196.65,0,6,940.498005250209
fuelcell,suv,28.4609139425596,8.25497783132157,470.025716433417,65.3509459203662,5,6.1,1.8,196.65,0,6,6729.12241050148
fuelcell,truck,40.0337152914473,8,473,44.189683311675,5,9.0503958604063,1.8,196.65,0,6,278.462952443569
hybrid,car,28.2153444719017,8.7,787,57.9080147679297,5,7.08020293445617,1.4,437,0,1.5,4220.32295419287
hybrid,suv,38.6870773947149,7.9,747,48.9323181630041,5,8.37909091230699,1.8343213961345,437,0,1.5,2600.5676144133
hybrid,truck,28.301130596883,10.4,667,55.8134141807065,5,7.34592134448077,1.3,437,0,1.5,152.238778036088
phev,car,27.2744324638947,6.4,586,39.1140485794316,487,5.3,26.8,275.31,7500,7.5,180.941881863777
phev,minvan,31.1125735308369,8.3,859.80350778111,47.4415239703721,315,5.58207161368657,17.3,275.31,7500,7.5,859.085033888764
phev,suv,26.3222258564118,6.14030622380781,755,40.5781278173874,487,5.4,26.8,275.31,7500,7.5,23907.9202934596
phev,truck,30.6548579367753,7.6,829,40.8438650785175,315,6.7,17.3,275.31,7500,7.5,427.288417282266
