fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,37.5662803299587,10.4376617020609,390,36.6860474864073,5,4.58871375131534,0,437,0,0,632.590005558644
conv,car,19.815,7.6,601,28.77,5,14.2509558567953,0,437,0,0,243209.121359449
conv,minvan,30.123,7.4,526.095631142799,21.2183604653722,5,19.3234070040937,0,437,0,0,15198.9364232396
conv,suv,31.995,7.5,522.231123635534,22.774212082961,5,18.002825091495,0,437,0,0,184204.590593678
conv,truck,31.56,7.3,555.653746289736,18.8196958851252,5,21.7857113856289,0,437,0,0,35120.0944985239
conv,van,23.1507465979828,8.72751737808799,504,26.7059215924139,5,15.3524173235756,0,437,0,0,4614.89819342382
ev,car,48.3182028903851,5,313,134.8,621,3.92620076914062,79.5,196.65,7500,0,27623.4852555386
ev,minvan,58.3277964451811,7.19329385131114,258,93.49,727,5.79329385131114,93,196.65,7500,0,4688.17494177276
ev,suv,53.4171111609347,5.2,313.638612562784,135.604657713395,578,4,74,196.65,7500,0,52002.3831886836
fuelcell,car,53.9075146101345,8.15601850962252,420,66.4306704106244,5,16.4697110123643,1.6,196.65,0,6,1124.99514658244
fuelcell,minvan,54.814,10.3,459,58.36,5,17.1,1.9,196.65,0,6,487.270029458084
fuelcell,suv,46.6633794680057,10.1,424.487587776603,60.180801813981,5,16.877095373443,1.75094496429644,196.65,0,6,1032.81368888005
hybrid,car,29.6389263928047,8.8,803.750758967589,48.0698045160429,5,8.53003157580007,1.3,437,0,1.5,15153.9965148342
hybrid,suv,46.5071700472035,8.1155390453556,793.207574613802,39.4827596091168,5,10.3843134904069,1.6,437,0,1.5,4688.51816782667
hybrid,truck,30.2692026384264,10.4,667,46.4294233117407,5,8.83365335244333,1.3,437,0,1.5,462.944572055201
phev,car,34.8134193622372,7.6,835.803764794802,43.3938617520276,315,4.97251431173103,17.3,275.31,7500,7.5,3129.78651158127
phev,minvan,39.6854613044293,8.6,849.012366145594,38.1134435705222,315,6.14060433052709,17.3,275.31,7500,7.5,2710.37509321229
phev,suv,34.9173856092488,6.7,859,39.0076751309555,315,5.89021566639129,17.3,275.31,7500,7.5,17398.9999615913
phev,truck,39.2092457580239,7.7502409392391,829,33.3218918838156,315,7.1512046961955,17.3,275.31,7500,7.5,1523.7435164125
