fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,suv,33.6734428662061,8.52059287945107,409.282371517804,35.4105304334792,5,4.1,0,437,0,0,216.56167583598
conv,car,18.957,7.6,644.11881958104,35.05,5,11.69757489301,0,437,0,0,32741.2059347479
conv,minvan,30.8145671650329,7.43419752080364,519.923187278994,25.3652686329906,5,16.1640385378991,0,437,0,0,1739.94493301889
conv,suv,34.435046215878,7.5,531.744951348938,26.4658665500618,5,15.4916566329734,0,437,0,0,20709.9353448208
conv,truck,34.9727008133629,7.2,558.821074694041,22.54,5,18.2005848531906,0,437,0,0,2412.99702024851
conv,van,23.098203328658,8.76237217268035,498.79947109681,32.5703726372566,5,12.5886878271591,0,437,0,0,619.884013210765
ev,car,26.107,4.2,339,155.084,578,3.1,74,196.65,7500,0,123291.14613619
ev,minvan,33.0405331879276,5.95604986247727,277.649000604386,85.6434344314771,884.767783693069,5.56910845926676,113.203935564776,196.65,7500,0,1133.22700433256
ev,suv,36.3476146772827,4,381.577260370559,127.406394731847,839.20465179227,3.70231188256345,107.425581474034,196.65,7500,0,130410.84269841
ev,truck,34.0521969473485,5.55802656714085,272.271619061206,76.5263249561988,937,6.27283809387944,119.9,196.65,7500,0,1974.2305184969
fuelcell,car,19.6087114490061,8.0280314275572,440.83267328451,76.8140260766708,5,5.24553988798076,1.8,196.65,0,6,1376.04291540766
fuelcell,minvan,32.2721718776107,10.3745192254139,464.490384508278,62.832488015445,5,6.37157451588369,1.9,196.65,0,6,451.263349008852
fuelcell,suv,28.3373869630161,8.29356651662105,470.2198880116,65.500208303705,5,6.1,1.8,196.65,0,6,3234.66057333392
fuelcell,truck,39.571,8,473,44.32,5,9,1.8,196.65,0,6,135.583264525337
hybrid,car,27.2867714786184,8.72771495408155,785.718430703003,58.2386786822965,5,7.04000356915101,1.4,437,0,1.5,1941.30840399946
hybrid,suv,38.9876935954534,7.89040480007712,745.977438617618,49.1179098882872,5,8.34755328478203,1.897917059279,437,0,1.5,1229.76381022575
hybrid,truck,28.281,10.4,667,56.07,5,7.31228821116462,1.3,437,0,1.5,71.811820942608
phev,minvan,31.0597075631445,8.3,842.065033084512,46.8254561650768,315,5.72552145143903,17.3,275.31,7500,7.5,406.96755251554
phev,suv,26.255,6.1105160860322,756.139520358172,40.9975772997881,456.422517270026,5.3,25.1111274073561,275.31,7500,7.5,11315.4958528096
phev,truck,30.593,7.6,829,41.04,315,6.7,17.3,275.31,7500,7.5,202.291017034097
