model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2015,car,conv,29.215,6.8,478,24.26,5,14.6372629843364,0,437,16.3716441146234
2015,suv,conv,33.825,7.2,511,21.33,5,16.6479137365213,0,437,18.9550183870319
2015,truck,conv,31.56,7.7,612,18.87,5,18.8182299947006,0,437,17.685746645816
2015,van,conv,22.95,10.3,480,26.55,5,13.3747645951036,0,437,12.8608328745716
2015,car,ev,75,5,255,122.764,547,5,70,196.65,36.4776008448
2015,car,hybrid,32.825,8.9,805,36.67,5,9.6836651213526,0.5,437,17.83451678814
2015,suv,hybrid,46.395,7.7,953,36.66,5,9.68630660120022,1.4,437,25.207384809924
2015,truck,hybrid,30.83,10.5,667,42.18,5,8.41868183973447,1.3,437,16.750591091496
2015,car,phev,35.155,7.7,624,40.31,311,4.9,17.1,275.31,20.1076894458223
2015,suv,phev,77.395,6.5,1114,31.71,196,7.3,10.8,275.31,44.2678032899849
2016,car,conv,28.555,7.1,538,24.66,5,14.3998377939984,0,437,18.040349602385
2016,suv,conv,33.825,7.2,511,21.33,5,16.6479137365213,0,437,21.369806524275
2016,truck,conv,32.82,7.2,555,17.12,5,20.7418224299065,0,437,20.73487213974
2016,van,conv,22.95,10.3,480,26.55,5,13.3747645951036,0,437,14.49924788565
2016,car,ev,68.77,5,255,122.764,547,4.8,70,196.65,41.39545561216
2016,suv,ev,95.5,4.9,272,101.849,703,5.8,90,196.65,57.485328064
2016,car,hybrid,32.825,8.9,805,36.67,5,9.6836651213526,0.5,437,20.28955266
2016,suv,hybrid,46.395,7.7,953,36.67,5,9.6836651213526,1.4,437,28.677343356
2016,truck,hybrid,30.83,10.5,667,42.19,5,8.4166864185826,1.3,437,19.056417624
2016,car,phev,34.795,7.7,624,40.35,311,4.6,17.1,275.31,23.86304482572
2016,suv,phev,77.369,6.5,1114,31.74,196,6.6,10.8,275.31,53.061069553704
2017,car,conv,28.555,7.1,538,24.66,5,14.3998377939984,0,437,20.338612855
2017,suv,conv,33.825,7.2,511,21.33,5,16.6479137365213,0,437,24.092228325
2017,truck,conv,32.82,7.2,555,17.12,5,20.7418224299065,0,437,23.37640602
2017,van,conv,22.95,10.3,480,26.55,5,13.3747645951036,0,437,16.34638995
2017,car,ev,58.52,5.8,255,122.764,547,4.6,70,196.65,43.59599552
2017,suv,ev,88.75,4.9,272,101.849,703,5.7,90,196.65,66.11662
2017,car,hybrid,32.825,8.9,805,36.68,5,9.68102508178844,0.5,437,23.08254
2017,suv,hybrid,46.395,7.7,953,36.68,5,9.68102508178844,1.4,437,32.624964
2017,truck,hybrid,30.83,10.5,667,42.2,5,8.41469194312796,1.3,437,21.679656
2017,car,phev,34.491,7.7,624,40.39,311,4.6,17.1,275.31,28.362777084
2017,suv,phev,35.556,6.8,859,34.51,315,5.9,17.3,275.31,29.238552144
2018,car,conv,28.555,7.1,538,24.66,5,14.3998377939984,0,437,22.929665
2018,suv,conv,33.825,7.2,511,21.33,5,16.6479137365213,0,437,27.161475
2018,truck,conv,32.82,7.2,555,17.12,5,20.7418224299065,0,437,26.35446
2018,van,conv,22.95,10.3,480,26.55,5,13.3747645951036,0,437,18.42885
2018,car,ev,58.52,5.8,255,122.764,547,4.5,70,196.65,53.95544
2018,suv,ev,88.75,4.9,272,101.849,703,5.6,90,196.65,81.8275
2018,car,hybrid,32.825,8.9,805,36.68,5,9.68102508178844,0.5,437,26.26
2018,suv,hybrid,46.395,7.7,953,36.69,5,9.67838648133006,1.4,437,37.116
2018,truck,hybrid,30.83,10.5,667,42.2,5,8.41469194312796,1.3,437,24.664
2018,car,phev,34.491,7.7,624,40.43,311,4.5,17.1,275.31,34.008126
2018,suv,phev,35.556,6.8,859,34.54,315,5.8,17.3,275.31,35.058216
1975,van,conv,23.3742240648732,13.3634,222.1212,11.10606,5,31.9735351690879,,588,0.108185336664188
1976,van,conv,23.3742240648732,13.3634,235.6784,11.78392,5,30.1342846862504,,588,0.121967685078002
1977,van,conv,23.3742240648732,13.3634,250.2594,12.51297,5,28.3785544119422,,588,0.137505845634726
1978,van,conv,23.3742240648732,13.3634,241.6018,12.08009,5,29.3954763582059,,588,0.155023501279286
1979,van,conv,23.3742240648732,15.4545,229.6922,11.48461,5,30.9196394130928,,588,0.174772831205508
1980,van,conv,23.3742240648732,16.5199,282.7284,14.13642,5,25.1195139929346,,588,0.197038141156154
1981,van,conv,23.3742240648732,16.5318,296.8438,14.84219,5,23.925040711647,,588,0.222139956207614
1982,van,conv,23.3742240648732,17.5964,294.4808,14.72404,5,24.1170222303118,,588,0.250439634957851
1983,van,conv,23.3742240648732,15.6505,301.3294,15.06647,5,23.5688917178344,,588,0.282344571542109
1984,van,conv,23.3742240648732,15.8726,322.2776,16.11388,5,22.0369023475414,,588,0.318314060363145
1985,van,conv,23.3742240648732,15.3213,330.9166,16.54583,5,21.4616008988367,,588,0.358865907962959
1986,van,conv,23.3742240648732,14.7281,349.3978,17.46989,5,20.3264015972625,,588,0.404583887218669
1987,van,conv,23.3742240648732,13.9292,353.1874,17.65937,5,20.1083051094122,,588,0.456126141170991
1988,van,conv,23.3742240648732,13.8585,357.5562,17.87781,5,19.8626118075984,,588,0.514234657464476
1989,van,conv,23.3742240648732,13.3943,355.9358,17.79679,5,19.9530364745552,,588,0.579745949790842
1990,van,conv,23.3742240648732,12.4758,356.8752,17.84376,5,19.9005142413931,,588,0.653603100102414
1991,van,conv,23.3742240648732,12.6888,358.2074,17.91037,5,19.8265027467328,,588,0.736869334951989
1992,van,conv,23.3742240648732,12.2324,358.4382,17.92191,5,19.8137363707328,,588,0.830743331400213
1993,van,conv,23.3742240648732,11.2051,364.0432,18.20216,5,19.5086736958691,,588,0.936576472830004
1994,van,conv,23.3742240648732,11.0199,356.7514,17.83757,5,19.9074201250507,,588,1.05589230307779
1995,van,conv,23.3742240648732,11.1799,361.56,18.078,5,19.6426595862374,,588,1.19040845893776
1996,van,conv,23.3742240648732,11.2864,366.7922,18.33961,5,19.3624619062237,,588,1.34206139677312
1997,van,conv,23.3742240648732,11.208,363.51,18.1755,5,19.5372892079998,,588,1.5130342691918
1998,van,conv,23.3742240648732,11.1196,373.9346,18.69673,5,18.9926259832602,,588,1.70578835309109
1999,van,conv,23.3742240648732,11.1321,365.5686,18.27843,5,19.4272702852488,,588,1.92309848150067
2000,van,conv,23.3742240648732,10.6108,372.173,18.60865,5,19.0825234501159,,588,2.16809298929049
2001,van,conv,23.3742240648732,10.0971,360.8766,18.04383,5,19.6798573251909,,588,2.44429874779086
2002,van,conv,23.3742240648732,10.131,373.9994,18.69997,5,18.9893352770085,,588,2.75569193663005
2003,van,conv,23.3742240648732,9.9551,379.6462,18.98231,5,18.7068907841037,,588,3.10675528368665
2004,van,conv,23.3742240648732,9.6513,383.2564,19.16282,5,18.5306755477534,,588,3.50254259716646
2005,van,conv,23.3742240648732,9.6906,386.043,19.30215,5,18.3969143333774,,588,3.94875151878969
2006,van,conv,23.3742240648732,9.7382,390.5986,19.52993,5,18.1823488358637,,588,4.45180554542242
2007,van,conv,23.3742240648732,9.427,389.9614,19.49807,5,18.2120589371153,,588,5.01894649991254
2008,van,conv,23.3742240648732,9.6207,396.3906,19.81953,5,17.916671081504,,588,5.65833878231403
2009,van,conv,23.3742240648732,9.4307,401.317,20.06585,5,17.696733504935,,588,6.3791869022706
2010,van,conv,23.3742240648732,9.676,402.3718,20.11859,5,17.6503422953597,,588,7.19186798452154
2011,van,conv,23.3742240648732,8.3973,418.9844,20.94922,5,16.9505117612971,,588,8.10808115504119
2012,van,conv,23.3742240648732,8.5039,425.3766,21.26883,5,16.6957937977783,,588,9.1410159583328
2013,van,conv,23.3742240648732,8.5479,421.1594,21.05797,5,16.8629739713752,,437,10.3055422303639
2014,van,conv,23.3742240648732,8.277,425.3804,21.26902,5,16.6956446512345,,437,11.6184241605005
1975,truck,conv,31.3426812650796,13.3834,238.2952,11.91476,5,29.8033699377914,,588,0.145066570561232
1976,truck,conv,31.3426812650796,13.3834,248.8322,12.44161,5,28.5413222243745,,588,0.163547430170498
1977,truck,conv,31.3426812650796,13.3834,271.1514,13.55757,5,26.1920093350062,,588,0.184382672120066
1978,truck,conv,31.3426812650796,13.3834,266.5634,13.32817,5,26.6428174310502,,588,0.207872234633671
1979,truck,conv,31.3426812650796,14.9015,264.2998,13.21499,5,26.8710002807418,,588,0.234354266779787
1980,truck,conv,31.3426812650796,15.5542,330.3768,16.51884,5,21.4966668361701,,588,0.264209996369545
1981,truck,conv,31.3426812650796,15.5938,357.6456,17.88228,5,19.8576467877698,,588,0.297869218003997
1982,truck,conv,31.3426812650796,16.3908,369.7004,18.48502,5,19.2101496238576,,588,0.335816480275081
1983,truck,conv,31.3426812650796,15.1782,377.5302,18.87651,5,18.8117400939051,,588,0.378598061189494
1984,truck,conv,31.3426812650796,15.0923,365.1998,18.25999,5,19.4468890727761,,588,0.426829832231673
1985,truck,conv,31.3426812650796,14.1795,364.0274,18.20137,5,19.5095204371979,,588,0.481206124274716
1986,truck,conv,31.3426812650796,13.5534,377.25,18.8625,5,18.8257123923128,,588,0.542509722970367
1987,truck,conv,31.3426812650796,13.5302,380.7702,19.03851,5,18.6516696947398,,588,0.611623137508869
1988,truck,conv,31.3426812650796,13.1264,362.8434,18.14217,5,19.573182259895,,588,0.68954130497054
1989,truck,conv,31.3426812650796,12.3688,356.0412,17.80206,5,19.9471297142016,,588,0.777385913157317
1990,truck,conv,31.3426812650796,11.3368,348.2306,17.41153,5,20.3945316695316,,588,0.876421548091676
1991,truck,conv,31.3426812650796,11.4214,363.7376,18.18688,5,19.5250642221206,,588,0.988073898637741
1992,truck,conv,31.3426812650796,11.2471,349.6174,17.48087,5,20.3136342756396,,588,1.11395028031312
