fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,35.5953833613033,10.5327180232426,390,38.239964010006,5,4.62726799206459,0,437,0,0,690.56292285167
conv,car,21.7304787208867,7.6,561,28.27,5,13.8531711675814,0,437,0,0,253962.162952868
conv,minvan,30.0275041162841,7.41033565487051,526.08124258205,20.794223567857,5,15.3747657120535,0,437,0,0,17457.3894532709
conv,suv,31.8481947465535,7.5,518,22.3407744403206,5,15.997970323564,0,437,0,0,203267.422610174
conv,truck,31.5268452759647,7.3,556.144146314635,18.45,5,18.2992622095923,0,437,0,0,42142.6807582225
conv,van,23.1625234388961,8.7674618471706,504,26.1854459944944,5,14.1552575590905,0,437,0,0,5258.52563222831
ev,car,47.8977542754479,5.1,310.158605358264,128.596746134911,621,4,79.5,196.65,7500,0,38755.7916347764
ev,minvan,55.1687887683694,7.265321411653,258,93.49,727,5.69076726070605,93,196.65,7500,0,7043.27232518012
ev,suv,51.8668279437071,4.8966811814171,330.414995464658,140.477600440614,578,3.94406035191874,74,196.65,7500,0,45108.9360400434
fuelcell,car,53.9606259780783,8.38546085798861,420,64.9234713928886,5,20.9498345808382,1.6,196.65,0,6,875.082540423032
fuelcell,suv,44.8784842682621,10.3258091629885,363,60.3786885286897,5,22.1968474006896,1,196.65,0,6,281.917459576968
hybrid,car,29.3861374853533,8.9,804.329379371949,45.1645681412449,5,8.25756440282564,1.3,437,0,1.5,17078.6914810045
hybrid,suv,46.2181404255645,8.25765649896906,792.099822095798,36.7169786877751,5,9.93272911992735,1.6,437,0,1.5,5182.88178437401
hybrid,truck,30.227400959026,10.5,667,43.2017906682055,5,8.41454164352654,1.3,437,0,1.5,524.682405006391
phev,car,34.8584900895665,7.7,820,40.4804690562192,311,5.4011366450163,17.1,275.31,7500,7.5,2878.84920163155
phev,minvan,39.4095143876517,8.7399194313772,858.588978756179,35.3198102357027,315,6.15000564221637,17.3,275.31,7500,7.5,3222.67671603521
phev,suv,34.9793750877771,6.8,860.553458795434,36.0495413089206,315,6.05899709772236,17.3,275.31,7500,7.5,18493.5708734753
phev,truck,38.9842473751547,7.8,829,30.8592849900513,315,7.13115166980389,17.3,275.31,7500,7.5,1653.90320885787
