fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,43.9191666840232,7.9,409.357003499514,33.8273501476812,5,4.3,0,437,0,0,1241.43936106026
cng,suv,51.523582412544,10.1,347,28.7645055247357,5,5.1,0,437,0,0,112.663840060213
conv,car,18.957,7.6,608.084553020076,33.41,5,12.2717749176893,0,437,0,0,194397.070158009
conv,minvan,30.0641985499134,7.4,526,24.4761620557521,5,16.7510255026148,0,437,0,0,11349.024661043
conv,suv,32.0185662587309,7.5,528,26.3615890977177,5,15.552964731345,0,437,0,0,128766.265459386
conv,truck,32.0471576806016,7.4,555,21.61,5,18.972697825081,0,437,0,0,18286.2999500694
conv,van,23.1296130128405,8.73978793622083,504,30.9167348326008,5,13.2614338798617,0,437,0,0,3764.87510697889
ev,car,43.686,5.7,325,134.408581853743,621,3.62771255358371,79.5,196.65,7500,0,15281.4550426616
ev,minvan,47.6020629372187,6.36691810422527,260.773340651358,91.0170010858301,759.355640932508,5.46315245088596,97.1446035289736,196.65,7500,0,1219.46746462646
ev,suv,46.497,4.2,323,132.845913524531,666,3.7,85.2,196.65,7500,0,171871.337467758
ev,truck,52.0362832302407,5.9,261.796603471337,73.5828455754457,937,6.66055188986641,119.9,196.65,7500,0,1404.85679716563
fuelcell,car,23.8843385625666,8.4,442.404198940078,72.3403517631065,5,6.01764679657498,1.8,196.65,0,6,7212.51847318724
fuelcell,minvan,35.9004937646522,10.2220346975562,459.319324434246,62.4375355865919,5,7.01097013775636,1.9,196.65,0,6,1723.22851661607
fuelcell,suv,32.8162802417708,8.15549219273347,468.832402744546,61.9523117807633,5,7.07725623648524,1.8,196.65,0,6,10258.534201706
fuelcell,truck,45.1288632673331,8.1,473,42.9405445425949,5,10.1489789826345,1.8,196.65,0,6,396.683701304878
hybrid,car,30.7766063616557,8,766.486307772703,52.1343371427781,5,7.86429935323712,1.4,437,0,1.5,11679.8053831333
hybrid,suv,44.3454931202044,8.3540513307274,779,46.4339056872888,5,8.82977748464191,1.49162761465323,437,0,1.5,3379.32596997729
hybrid,truck,29.4345961371404,10.4,667,53.7739104457418,5,7.62453429209724,1.3,437,0,1.5,340.942862435182
phev,car,34.6208034422831,6.52929100448033,833.625137042564,43.2148751590394,487,4.8,26.8,275.31,7500,7.5,2778.27492000709
phev,minvan,36.3786862259942,8.4,799,43.0087436538435,315,5.89908612759869,17.3,275.31,7500,7.5,2114.11534000695
phev,suv,32.632002370256,5.7,690.953774312821,38.2777096888376,487,5.4,26.8,275.31,7500,7.5,72645.2781141123
phev,truck,35.4488236931454,8,263,31.0136698152243,487,6.7,26.8,275.31,7500,7.5,2254.71159191888
