fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,52.6857699887526,8.77684419481811,406.545055211958,32.9920971538978,5,4.74971210800452,0,437,0,0,563.797311489853
conv,car,18.982598899309,7.6,609,30.11,5,13.6167386250415,0,437,0,0,227635.787793736
conv,minvan,30.123,7.4,526,22.1876030883618,5,18.4792716943468,0,437,0,0,14637.3966116448
conv,suv,32.02,7.5,524,23.7065657286359,5,17.2947915299924,0,437,0,0,173933.878375438
conv,truck,32.0327614393842,7.27113622755524,555,19.63,5,20.8863983698421,0,437,0,0,30761.4397426566
conv,van,23.1483487386978,8.72779752192249,504,27.9466436603264,5,14.6708253204349,0,437,0,0,4373.19229660831
ev,car,40.001666505895,4.91013391049753,347.705694676252,148.504331240808,621,3.29797749421548,79.5,196.65,7500,0,9202.0481854524
ev,minvan,47.3953685826964,6.87478517294491,258,93.49,727,5.3,93,196.65,7500,0,1342.46211730856
ev,suv,48.034,4.7,331,130.776,680,3.9,87.1,196.65,7500,0,55204.9895880331
ev,truck,60.576,6,263,73.921,937,6.7,119.9,196.65,7500,0,273.847301429957
fuelcell,car,26.4225965288308,8.6,434.501499204353,72.9824221297032,5,8.9,1.72408409667945,196.65,0,6,5114.11091301571
fuelcell,minvan,39.4605335182746,10.2155274535636,459.276043618908,59.5097770231405,5,11.0813770987801,1.9,196.65,0,6,1394.82918727667
fuelcell,suv,35.7259116055836,8.24144460803101,468.251168594731,60.1914907711436,5,10.8895239164162,1.8,196.65,0,6,7429.73671600051
fuelcell,truck,50.3801715199632,8.2,473,40.8327477129451,5,15.6399250525348,1.8,196.65,0,6,355.096647500577
hybrid,car,30.2886903206575,8.5,798.304943761583,52.81,5,7.76368112099981,1.3,437,0,1.5,14448.7185695467
hybrid,suv,45.8669880233848,8,794.922791007799,43.9116709005618,5,9.33692557241072,1.6,437,0,1.5,4505.76505275741
hybrid,truck,29.5993530936594,10.4,667,50.9048234531703,5,8.05424665361546,1.3,437,0,1.5,423.730716572011
phev,car,32.0555246105534,7.48031680666185,788,47.6727511852723,315,4.6,17.3,275.31,7500,7.5,3655.09007763358
phev,minvan,36.8383198180142,8.5,799,40.3669705728968,315,5.69857606285334,17.3,275.31,7500,7.5,4155.77169567404
phev,suv,33.179,5.9,765.948852147998,36.5672130787606,487,5.3,26.8,275.31,7500,7.5,81304.6494855372
phev,truck,36.3423899534653,7.72595283896655,812.419019549148,36.3408727189396,319.959875891385,6.50865094632218,17.5739466335358,275.31,7500,7.5,2187.31805804486
