fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,46.3176338295738,7.9,404.870429421198,33.9466431444919,5,4.2,0,437,0,0,694.393107575795
cng,suv,51.4686196242677,10.1,347,29.1225358382154,5,4.9,0,437,0,0,132.63138676194
conv,car,18.957,7.6,595.784321797482,33.97,5,12.0694730644686,0,437,0,0,186187.43802973
conv,minvan,30.0641865056346,7.4,526,24.8268973045538,5,16.5143801406884,0,437,0,0,10294.0110768681
conv,suv,31.995,7.5,528,26.7799654034528,5,15.3099525790395,0,437,0,0,114245.896708727
conv,truck,32.225,7.4,555,21.9538257183405,5,18.6756078897019,0,437,0,0,16118.8415024179
conv,van,23.1282124323807,8.74139341006345,504,31.3676177174169,5,13.0708101904235,0,437,0,0,3436.97953031649
ev,car,43.4621949986527,5.7,323,133.233,621,3.7,79.5,196.65,7500,0,14422.7294979908
ev,minvan,47.2248250205147,6.38073725847081,260.61684899845,91.1636223123753,757.529904981915,5.35991854990527,96.9107354476834,196.65,7500,0,1139.24990083272
ev,suv,46.2509019631486,4.2,323.761891744071,133.068,667.76944712362,3.7,85.4359262831493,196.65,7500,0,208970.957852668
ev,truck,50.5815848395405,5.82122477024844,261,73.359,937,6.60496238344873,119.9,196.65,7500,0,1755.18377950633
ev,van,40.3476495311902,5.8,318,115.481,725,4.2,92.8,196.65,7500,0,525.740543762517
fuelcell,car,23.0581935126911,8.1,442,73.2718100423045,5,5.5,1.8,196.65,0,6,6269.16649606363
fuelcell,minvan,35.2319034206778,10.126580913604,459.472549575182,63.2728751032358,5,6.31479952338448,1.9,196.65,0,6,1660.07670646843
fuelcell,suv,32.4611479671353,8.1,468.847357019125,62.0450473770042,5,6.43110065961483,1.8,196.65,0,6,10119.8260655512
fuelcell,truck,43.8114982307659,8.1,473,43.5251495338777,5,9.2,1.8,196.65,0,6,424.868671740257
hybrid,car,30.7026445242916,8.14393900048082,777.969103105462,52.8537507855992,5,7.75726077852516,1.40348840381381,437,0,1.5,10034.0482431768
hybrid,suv,44.1542845120118,8.35790255040866,779,47.110263953946,5,8.70301036407602,1.5,437,0,1.5,2849.22383078161
hybrid,truck,29.3775406708636,10.4,667,54.4542317725758,5,7.52927707416329,1.3,437,0,1.5,309.595790499168
phev,car,32.7766447455061,6.5,846,51.7010310421782,487,4.8,26.8,275.31,7500,7.5,1866.88118661089
phev,minvan,36.2500694729015,8.4,799,43.5889333434431,315,5.89983019418771,17.3,275.31,7500,7.5,1938.66585236226
phev,suv,32.484,5.7,691.110131809709,38.7664159248476,487,5.4,26.8,275.31,7500,7.5,66494.9671053151
phev,truck,35.2935853419007,8,263,31.3837573359517,487,6.7,26.8,275.31,7500,7.5,2064.03534347137
