fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,41.2063466790727,7.9,415,33.818618307472,5,4.4,0,437,0,0,950.260349911658
conv,car,18.979,7.6,617.026831035923,32.2346165813208,5,12.7192483849176,0,437,0,0,185892.899131299
conv,minvan,30.123,7.4,526,23.649811801636,5,17.3365355463195,0,437,0,0,11469.5901691633
conv,suv,32.155,7.5,530,25.2569847895352,5,16.2331475271801,0,437,0,0,134438.326030362
conv,truck,32.1946819084966,7.3,555,20.9438578875565,5,19.5761673828141,0,437,0,0,20638.7679860554
conv,van,23.1923222876633,8.7367728470266,504,29.8803627361585,5,13.7213878482265,0,437,0,0,3721.97627267972
ev,car,40.7454735582331,5.7,330,136.226,621,3.6,79.5,196.65,7500,0,16419.9934227387
ev,minvan,46.7262753061334,6.6,258,89.6910718573044,727,5.51333304184729,93,196.65,7500,0,1703.27768062836
ev,suv,46.348,4.2,323.248079525032,133.37033314259,649,3.7,83.1,196.65,7500,0,141475.800932181
ev,truck,50.5079953315647,6.06270846352709,262.485129279547,73.7763213275528,937,6.7,119.9,196.65,7500,0,1154.27618434278
fuelcell,car,25.2789449198712,8.5,442,71.5059251292785,5,6.65781269738673,1.8,196.65,0,6,8178.69207144522
fuelcell,minvan,37.213637793139,10.2,459,61.4002504284427,5,7.83043587936527,1.9,196.65,0,6,1895.68290593794
fuelcell,suv,33.6833890449412,8.17942170861055,468.874199761987,62.2955935959741,5,7.6937324634189,1.8,196.65,0,6,11241.2049485371
fuelcell,truck,47.3080290202628,8.1,473,42.3123450026676,5,11.2643531199982,1.8,196.65,0,6,412.872140646484
hybrid,car,30.1788103335811,8.3,781.20713318842,51.0284681161154,5,8.0347308474418,1.4,437,0,1.5,12575.8164116865
hybrid,suv,45.704317183088,8,796.218129714748,44.9777151661688,5,9.11577523482784,1.6,437,0,1.5,3659.14664406951
hybrid,truck,29.493802399508,10.4,667,52.2687184167283,5,7.84426508729386,1.3,437,0,1.5,346.275990749438
phev,car,33.1013593760712,6.95330807499249,829.447762459855,49.2906442908484,371.034185232363,4.8,20.3884983986342,275.31,7500,7.5,3661.62849662286
phev,minvan,36.5200941341231,8.4,799,41.8493306724545,315,5.8713935958927,17.3,275.31,7500,7.5,2786.3745011581
phev,suv,32.818,5.7,692,37.1142057476756,487,5.4,26.8,275.31,7500,7.5,94224.3882341934
phev,truck,35.617844716383,8,263,30.1592675529612,487,6.7540372771147,26.8,275.31,7500,7.5,2979.90032989646
