fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,48.4222131318418,9.2,372,32.0304754221439,5,4.5,0,437,0,0,102.970675100735
cng,suv,80.0662319732012,8.51222028204115,301.983010899211,26.01159509537,5,5.55705305574092,0,437,0,0,49.2874764692696
cng,truck,38.9660703105955,9.6,400,34.4444475596071,5,4.2,0,437,0,0,184.564628548116
conv,car,18.957,7.9,596,35.02,5,11.7075956596231,0,437,0,0,179158.299723377
conv,minvan,31.5573698506886,7.5,532.26218424072,26.0433339266882,5,15.7438963387059,0,437,0,0,7051.03106310145
conv,suv,31.995,7.5,524.821044069361,27.7418790386276,5,14.7791913031345,0,437,0,0,92152.648598946
conv,truck,31.7433945284388,7.3,555,22.6505336161175,5,18.1011752491796,0,437,0,0,13431.8989411661
conv,van,23.125,8.74415539093204,504,32.2487316883528,5,12.7136810782376,0,437,0,0,3029.80219517763
ev,car,43.1255464012228,5.7,313.536382295634,131.945,623.7623102559,3.63426502090648,79.8551541757586,196.65,7500,0,16166.6263061907
ev,minvan,46.7525273105376,6.41447595992313,260.209666675722,91.5215899347844,752.779444550093,5.32275925976235,96.3022240876072,196.65,7500,0,1028.60170148481
ev,suv,45.4498273538389,4.1,328,133.421,649,3.6,83.1,196.65,7500,0,270883.190671645
ev,truck,43.1561280258347,5.8,279.839039716364,100.353,750.101102922843,4.8,96.0468137230458,196.65,7500,0,2093.81384924772
ev,van,40.0172102668878,5.8,318,115.481,725,4.2,92.8,196.65,7500,0,466.04810040015
fuelcell,car,21.8359352187034,7.5,462.441792469972,63.9292088870895,5,6.27187105951461,1.8,196.65,0,6,3499.4917131172
fuelcell,minvan,33.9992491924401,10.1216025841916,459.432051683832,64.1960651779156,5,6.21355613820595,1.9,196.65,0,6,1575.1817136223
fuelcell,suv,30.9902777400219,8.04490007732913,468.959119942206,63.0796883912112,5,6.3183765338222,1.8,196.65,0,6,9593.84949927991
fuelcell,truck,39.8594449888971,8.19712183837119,468.646947129073,47.9595451819829,5,8.46576169311345,1.8,196.65,0,6,739.963125249985
hybrid,car,30.6195549130522,8.12861653898874,778,54.1800593112005,5,7.56735975149386,1.48200688663326,437,0,1.5,8659.5167599427
hybrid,suv,44.2662343240006,8.1,779,48.1878224600747,5,8.50839160877049,1.5,437,0,1.5,2355.27391416955
hybrid,truck,33.2425235391448,7.50332144100844,692.576800459357,46.0709894329704,5,8.89967763456093,1.20011453244857,437,0,1.5,796.532786920157
phev,car,34.6842883694868,7.12372664994563,765.132758281592,48.4201604407459,342.440321792322,4.7,18.8164388358915,275.31,7500,7.5,1151.70751044884
phev,minvan,36.086400976455,8.3,799,44.7286741278769,315,5.89956617176499,17.3,275.31,7500,7.5,1699.90300854525
phev,suv,32.29,5.7,690.231332996193,39.7287388172957,487,5.4,26.8,275.31,7500,7.5,57956.3469505158
phev,truck,35.1132502680107,8,263,32.1724581391814,487,6.7,26.8,275.31,7500,7.5,2130.68110091667
