fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,42.3678229681613,7.96875565796485,414.193071197439,33.5841211993178,5,4.6,0,437,0,0,795.279417590968
conv,car,18.979,7.6,611.474384587373,31.49,5,13.0200063512226,0,437,0,0,181010.293859105
conv,minvan,30.123,7.4,526,23.0999874269007,5,17.7489274178478,0,437,0,0,11237.4190738016
conv,suv,32.155,7.5,528,24.6792465664326,5,16.6124616496764,0,437,0,0,136266.277243981
conv,truck,31.6719795525613,7.2597463121708,555,20.5152480275543,5,19.9895451005155,0,437,0,0,21134.5559485151
conv,van,23.14532846976,8.73198497996749,504,29.2200231672336,5,14.031480728033,0,437,0,0,3567.34207896027
ev,car,40.5573167452297,5.6,330,136.226,621,3.6,79.5,196.65,7500,0,16964.7387713875
ev,minvan,46.8426081095506,6.6425699532922,258,93.2526812897945,727,5.21343000857529,93,196.65,7500,0,1681.81373283365
ev,suv,46.9624269023201,4.5,329,132.761880751657,666,3.7,85.2,196.65,7500,0,118924.269560758
ev,truck,59.9832250997217,5.9,263,73.921,937,6.6,119.9,196.65,7500,0,554.382286362614
fuelcell,car,25.9560474163492,8.5,442,71.3615871256715,5,6.9,1.8,196.65,0,6,9008.22683254856
fuelcell,minvan,38.1063452043512,10.2,459,61.2549072777132,5,8.19553883844252,1.9,196.65,0,6,2065.84536544889
fuelcell,suv,34.5986040459859,8.18841056904924,468.860870756015,61.8584429717739,5,8.08212902345289,1.8,196.65,0,6,12276.6217427383
fuelcell,truck,48.5925172107828,8.14977465209466,473,42.005338021858,5,11.749323956284,1.8,196.65,0,6,446.914730008865
hybrid,car,30.8674687471982,8.3,787,52.6533855687411,5,7.79355164262593,1.4,437,0,1.5,12402.1276117246
hybrid,suv,45.747840788527,8,796.736076020912,44.0452273691378,5,9.30869854075643,1.6,437,0,1.5,3652.71647608245
hybrid,truck,29.5246768138147,10.4,667,51.2289883302991,5,8.00347936116417,1.3,437,0,1.5,337.402397911083
phev,car,32.9713727107426,7.2,793.143464154951,48.200758760379,315,4.74744924663027,17.3,275.31,7500,7.5,4052.41255597431
phev,minvan,36.5874406536632,8.4,799,41.071989059415,315,5.89925488732744,17.3,275.31,7500,7.5,3476.64509302854
phev,suv,32.881,5.7,749.42523050508,36.6600667517898,487,5.4,26.8,275.31,7500,7.5,109841.176212159
phev,truck,35.6977986648373,8,263,29.6443165396027,487,6.7,26.8,275.31,7500,7.5,3724.37054999792
