fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,38.0402456811743,10.4289990858593,390,36.3689797325652,5,4.63657881029412,0,437,0,0,566.293507500363
conv,car,19.815,7.6,601,28.77,5,14.2509558567953,0,437,0,0,221457.862761556
conv,minvan,30.123,7.4,526.039140914197,21.207714702848,5,19.333100524794,0,437,0,0,13905.6551899827
conv,suv,31.9950397267383,7.5,522.548697033537,22.7348210945449,5,18.0340148862481,0,437,0,0,168345.59551199
conv,truck,31.56,7.3,555.579190312194,18.810451193831,5,21.7964127098559,0,437,0,0,32233.378557945
conv,van,23.1410641785166,8.72635085791569,504,26.7027856814592,5,15.354222891836,0,437,0,0,4192.65825377921
ev,car,38.7174889259856,5,334.158450815567,153.468969321206,621,3.5,79.5,196.65,7500,0,40199.6025259118
ev,minvan,48.0982356977386,7.18511544431952,258,93.49,727,5.78511544431952,93,196.65,7500,0,7043.356419165
ev,suv,45.6295051765691,5.2,329,135.207712284029,578,4,74,196.65,7500,0,78037.5532553702
fuelcell,car,53.5255041202281,8.15584817553923,420,66.430170566471,5,16.4405378423228,1.6,196.65,0,6,1111.75803171798
fuelcell,minvan,54.352,10.3,459,58.36,5,17.1,1.9,196.65,0,6,488.522710904781
fuelcell,suv,46.228045468796,10.1,425.651639125759,60.1610561294906,5,16.8742401879633,1.75465558416862,196.65,0,6,1026.25865413884
hybrid,car,29.1179982596415,8.8,803.83486770677,48.0359719755471,5,8.53601398602505,1.3,437,0,1.5,13975.0111766221
hybrid,suv,45.9798599390596,8.12474057536474,792.995555471465,39.4751687114956,5,10.386299676894,1.6,437,0,1.5,4341.02519077253
hybrid,truck,29.7595681774333,10.4,667,46.4328279430851,5,8.83300713498689,1.3,437,0,1.5,422.845870692943
phev,car,32.379484008211,7.6,836.522282786176,43.4470193692559,315,4.96193722107535,17.3,275.31,7500,7.5,3474.55381607761
phev,minvan,37.2549595130933,8.6,848.134021671815,38.1663806364645,315,6.13067863066291,17.3,275.31,7500,7.5,3021.37985883818
phev,suv,32.4840841038531,6.7,859,39.0479609305648,315,5.845952310448,17.3,275.31,7500,7.5,19464.5193890232
phev,truck,36.7765754605416,7.74809451538774,829,33.3495807514982,315,7.14047257693867,17.3,275.31,7500,7.5,1699.88698031273
