model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2021,truck,conv,32.82,7.2,555,17.32,5,23.6720554272517,0,588,7.04715688828677
2021,van,conv,22.95,10.3,480,26.85,5,15.2700186219739,0,588,4.92785650780565
2021,car,ev,60.185,5.8,255,122.764,547,4.4,70,264.6,5.31794883318291
2021,suv,ev,54.239,4.8,335,152.561,578,3.6,74,264.6,4.79256005255475
2021,car,hybrid,34.146,8.9,861,40.75,5,10.0613496932515,0.5,588,6.6116133634271
2021,suv,hybrid,45.338,7.7,953,38.21,5,10.7301753467679,1.4,588,8.77869521089023
2021,truck,hybrid,30.346,10.5,667,43.92,5,9.3351548269581,1.3,588,5.8758278898424
2021,car,phev,34.969,7.7,846,40.39,315,5.5,17.3,370.44,4.6815178650755
2021,suv,phev,36.283,6.8,889,37.43,315,6.3,17.3,370.44,4.85743123047655
2021,truck,phev,39.361,7.8,829,31.38,315,7.7,17.3,370.44,5.26950226449818
2022,car,conv,26.5,7.7,620,27.51,5,14.903671392221,0,588,6.41501413331023
2022,suv,conv,33.825,7.2,511,21.82,5,18.7901008249313,0,588,8.18822087015919
2022,truck,conv,32.82,7.2,555,17.52,5,23.4018264840183,0,588,7.94493448510346
2022,van,conv,22.95,10.3,480,27.16,5,15.0957290132548,0,588,5.55564431545169
2022,car,ev,52.314,5.7,255,122.764,547,4.4,70,264.6,5.72087497664237
2022,suv,ev,43.966,5.2,268,135.001,523,4,66.9,264.6,4.80796706852962
2022,car,hybrid,32.176,8.9,805,39.57,5,10.3613848875411,0.5,588,7.08778917372047
2022,suv,hybrid,44.727,7.7,953,39.71,5,10.3248552002015,1.4,588,9.85254681666446
2022,truck,hybrid,29.784,10.4,667,45.62,5,8.98728627794827,1.3,588,6.56087496115398
2022,car,phev,32.437,7.7,846,42.12,315,5.2,17.3,370.44,5.20688639363738
2022,suv,phev,33.751,6.7,889,39.02,315,6,17.3,370.44,5.41781369028132
2022,truck,phev,36.829,7.8,829,32.68,315,7.4,17.3,370.44,5.9119036591322
2023,car,conv,26.5,7.7,620,27.83,5,14.7323032698527,0,588,7.23225945130804
2023,suv,conv,33.825,7.2,511,22.07,5,18.5772541912098,0,588,9.23136512982998
2023,truck,conv,32.82,7.2,555,17.72,5,23.13769751693,0,588,8.95708510158226
2023,van,conv,22.95,10.3,480,27.48,5,14.919941775837,0,588,6.26340960028375
2023,car,ev,38.578,5,377,159.81,621,3.4,79.5,264.6,5.22123062605464
2023,suv,ev,45.718,4.7,335,152.561,578,3.5,74,264.6,6.18757379236783
2023,car,hybrid,33.856,8.9,861,43.89,5,9.34153565732513,0.5,588,8.48448543906835
2023,suv,hybrid,44.661,7.7,953,41.23,5,9.94421537715256,1.4,588,11.1922732807843
2023,truck,hybrid,29.732,10.4,667,47.35,5,8.65892291446674,1.3,588,7.45099010734819
2023,car,phev,32.335,7.6,846,43.84,315,4.9,17.3,370.44,6.22363674081907
2023,suv,phev,33.649,6.7,889,40.6,315,5.6,17.3,370.44,6.47654716844969
2023,truck,phev,36.728,7.7,829,33.97,315,6.9,17.3,370.44,7.06917365754763
2024,car,conv,26.5,7.7,620,28.15,5,14.5648312611012,0,588,8.15361832165506
2024,suv,conv,33.825,7.2,511,22.33,5,18.3609493954322,0,588,10.4074014992446
2024,truck,conv,33.59,8.3,588,19,5,21.5789473684211,0,588,10.3350958273356
2024,van,conv,22.95,10.3,480,27.79,5,14.7535084562792,0,588,7.06134115026353
2024,car,ev,38.428,5,377,159.81,621,3.3,79.5,264.6,6.43679368691987
2024,suv,ev,48.739,5.5,329,92.471,937,5.7,119.9,264.6,8.16391400819162
2024,car,hybrid,33.811,8.9,861,45.5,5,9.01098901098901,0.5,588,9.63959978460403
2024,suv,hybrid,44.595,7.7,953,42.77,5,9.58615852232873,1.4,588,12.7141448757628
2024,truck,hybrid,29.68,10.4,667,49.1,5,8.35030549898167,1.3,588,8.46184146008837
2024,car,phev,38.259,8,820,44.7,291,5.2,16,370.44,8.82955740496194
2024,suv,phev,33.547,6.7,889,42.22,315,5.4,17.3,370.44,7.7421041392681
2024,truck,phev,36.626,7.7,829,35.3,315,6.6,17.3,370.44,8.45268745952942
2025,car,conv,25.72,8.2,560,30.13,5,13.6076999668105,0,588,8.92178695339253
2025,suv,conv,33.825,7.2,511,22.58,5,18.1576616474756,0,588,11.7332598638609
2025,truck,conv,33.59,8.3,588,19.22,5,21.3319458896982,0,588,11.6517427591157
2025,van,conv,22.95,10.3,480,28.11,5,14.5855567413732,0,588,7.96092576128921
2025,car,ev,38.278,5,377,159.81,621,3.2,79.5,264.6,7.93523302250984
2025,suv,ev,48.191,4.8,338,130.776,680,4,87.1,264.6,9.99025065540969
2025,car,hybrid,33.766,8.9,861,47.12,5,8.70118845500849,0.5,588,10.9519569661273
2025,suv,hybrid,44.529,7.6,953,44.31,5,9.25299029564432,1.4,588,14.4429216295884
2025,truck,hybrid,29.628,10.4,667,50.87,5,8.05976017298997,1.3,588,9.60980219725223
2025,car,phev,38.16,8,820,46.39,291,5.1,16,370.44,10.5596040872422
2025,suv,phev,33.446,6.7,889,43.85,315,5.3,17.3,370.44,9.25514985067876
2025,truck,phev,36.524,7.7,829,36.64,315,6.5,17.3,370.44,10.106891501112
2026,car,conv,25.72,8.2,560,30.47,5,13.4558582212012,0,588,10.0583843893941
2026,suv,conv,33.825,7.2,511,22.84,5,17.9509632224168,0,588,13.2280269040145
2026,truck,conv,33.59,8.3,588,19.44,5,21.0905349794239,0,588,13.1361248693525
2026,van,conv,22.95,10.3,480,28.43,5,14.421385860007,0,588,8.97511359784579
2026,car,ev,51.663,5.5,255,122.764,547,4.1,70,264.6,13.2549687190069
2026,suv,ev,48.034,4.7,338,130.776,680,3.9,87.1,264.6,12.3238907428678
2026,car,hybrid,33.754,8.9,861,47.14,5,8.69749681798897,0.5,588,12.4551362709525
2026,suv,hybrid,44.496,7.6,953,44.35,5,9.24464487034949,1.4,588,16.4189057152427
2026,truck,hybrid,29.609,10.4,667,50.9,5,8.05500982318271,1.3,588,10.9256422897029
2026,car,phev,38.094,7.9,820,46.67,291,5.1,16,370.44,12.6394971475462
2026,suv,phev,33.805,5.9,763,35.59,487,5.5,26.8,370.44,11.2164173117236
2026,truck,phev,36.456,7.7,829,36.8,315,6.5,17.3,370.44,12.0960127057002
2027,car,conv,25.72,8.2,560,30.82,5,13.3030499675535,0,437,11.3397794694409
2027,suv,conv,33.825,7.2,511,23.1,5,17.7489177489178,0,437,14.9132208613467
2027,truck,conv,32.82,7.2,555,18.54,5,22.1143473570658,0,437,14.4701229466193
2027,van,conv,22.95,10.3,480,28.76,5,14.2559109874826,0,437,10.1185046198938
2027,car,ev,49.688,5.8,339,138.309,645,3.6,82.6,196.65,15.7775382297176
2027,suv,ev,47.878,4.7,338,130.776,680,3.8,87.1,196.65,15.202805010514
2027,truck,ev,60.576,6,263,73.921,937,6.7,119.9,196.65,19.2348284455678
2027,car,hybrid,33.742,8.9,861,47.14,5,8.69749681798897,0.5,437,14.1646283308901
