fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,43.7462039506934,8.22881816592243,410.149927429159,33.238672989079,5,4.6,0,437,0,0,757.260527806875
conv,car,18.979,7.6,610,30.8,5,13.3116883116883,0,437,0,0,202627.634556283
conv,minvan,30.123,7.4,526,22.6904112938702,5,18.0697627631711,0,437,0,0,13193.4345880382
conv,suv,32.085,7.5,525.071718584805,24.222041238704,5,16.9267324462672,0,437,0,0,154309.13824352
conv,truck,31.5804224975796,7.20427642155752,555,20.0811754692508,5,20.4171320135267,0,437,0,0,24862.6433473369
conv,van,23.1489287271811,8.72964393659473,504,28.5775441381647,5,14.3469395302215,0,437,0,0,3955.85809826785
ev,car,39.2027699803989,5.41118557032251,339,137.627549312851,621,3.6,79.5,196.65,7500,0,13939.8754172859
ev,minvan,47.0755854826087,6.7,258,93.49,727,5.27314523716797,93,196.65,7500,0,1375.30700407642
ev,suv,47.722,4.6,329,129.604941711308,680,3.82944505098551,87.1,196.65,7500,0,80266.3852979545
ev,truck,60.2984825579204,6,263,73.921,937,6.6,119.9,196.65,7500,0,563.275248235372
fuelcell,car,26.2794619007735,8.5,442,71.2546018014633,5,7.7,1.8,196.65,0,6,7179.25635834854
fuelcell,minvan,38.8621711977503,10.2206962283769,459.413924567539,60.395116003593,5,9.57539255229053,1.9,196.65,0,6,1693.15890577891
fuelcell,suv,35.2600423908467,8.17449486693796,468.904009037772,60.9224084752898,5,9.43862247909309,1.8,196.65,0,6,9984.54905434277
fuelcell,truck,49.5422889112032,8.2,473,41.4655336892446,5,13.4827072211108,1.8,196.65,0,6,399.593827287029
hybrid,car,30.9151758563279,8.5,787,52.86,5,7.75707592675362,1.30402919352149,437,0,1.5,13145.3432430909
hybrid,suv,45.8023371691181,8,796.027328384099,43.962607525181,5,9.32610763323421,1.6,437,0,1.5,4058.77314656117
hybrid,truck,29.5607683945933,10.4,667,50.9548587396877,5,8.04633776023529,1.3,437,0,1.5,377.665497541624
phev,car,33.1486532121438,7.39905252770464,691,47.5694632733057,315,4.7,17.3,275.31,7500,7.5,3950.26624236028
phev,minvan,36.7005413723103,8.4,799,40.5880468587085,315,5.79905705555538,17.3,275.31,7500,7.5,3817.06653716678
phev,suv,33.008,5.7,755,36.5566292401286,487,5.3,26.8,275.31,7500,7.5,102079.150593804
phev,truck,35.8422006404725,8,263,29.5678119154053,487,6.6,26.8,275.31,7500,7.5,4104.55074570057
