year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2020,ev,suv,49.99,4.8,335,152.561,578,3.4,74,196.65,7500,0,164,15377.7108025562
2020,hybrid,car,33.999,9,861,39.44,5,7.94117647058824,0.5,437,0,1.5,116,8130.28999913268
2020,hybrid,suv,45.018,7.8,953,36.92,5,8.48320693391116,1.4,437,0,1.5,181,2489.46691521221
2020,hybrid,truck,30.095,10.5,667,42.4,5,7.38679245283019,1.3,437,0,1.5,131,247.915657568405
2020,phev,car,40.044,8.2,820,38.04,291,5.1,16,275.31,7087,7.5,94,858.924547128367
2020,phev,suv,35.425,6.8,889,35.95,315,5.3,17.3,275.31,7500,7.5,172,7488.15656221995
2020,phev,truck,38.5,7.8,829,30.19,315,6.4,17.3,275.31,7500,7.5,126,723.70775281907
2021,conv,car,26.5,7.7,620,27.2,5,15.0735294117647,0,437,0,0,117,129436.95017469
2021,conv,suv,33.825,7.2,511,21.57,5,19.0078813166435,0,437,0,0,173,100524.756842727
2021,conv,truck,32.82,7.2,555,17.32,5,23.6720554272517,0,437,0,0,142,20390.5942124405
2021,conv,van,22.95,10.3,480,26.85,5,15.2700186219739,0,437,0,0,286,2617.11171973607
2021,ev,car,60.185,5.8,255,122.764,547,4.4,70,196.65,7500,0,120,21324.5915862259
2021,ev,suv,54.239,4.8,335,152.561,578,3.6,74,196.65,7500,0,164,29731.2252374872
2021,hybrid,car,34.146,8.9,861,40.75,5,10.0613496932515,0.5,437,0,1.5,116,8948.40148187186
2021,hybrid,suv,45.338,7.7,953,38.21,5,10.7301753467679,1.4,437,0,1.5,181,2693.4148691618
2021,hybrid,truck,30.346,10.5,667,43.92,5,9.3351548269581,1.3,437,0,1.5,131,276.766747437986
2021,phev,car,34.969,7.7,846,40.39,315,5.5,17.3,275.31,7500,7.5,115,2019.92465450318
2021,phev,suv,36.283,6.8,889,37.43,315,6.3,17.3,275.31,7500,7.5,172,11005.4143112554
2021,phev,truck,39.361,7.8,829,31.38,315,7.7,17.3,275.31,7500,7.5,126,930.195456038804
2022,conv,car,26.5,7.7,620,27.51,5,14.903671392221,0,437,0,0,117,113680.728345008
2022,conv,suv,33.825,7.2,511,21.82,5,18.7901008249313,0,437,0,0,173,86770.75279548
