year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2028,cng,car,61.205,9.1,371,29.72,5,5.2,0,437,0,0,34.5971860234745
2029,cng,car,60.037,9.5,416,33.47,5,4.5,0,437,0,0,37.0500721568374
2029,cng,car,226.578,10.4,352,28.33,5,5.3,0,437,0,0,1.41269511344656
2029,cng,car,73.523,6.5,315,25.33,5,5.9,0,437,0,0,29.933079927656
2029,cng,car,60.051,10.1,357,33.94,5,4.4,0,437,0,0,1.80093603435277
2029,cng,car,42.64,9.4,393,34.22,5,4.4,0,437,0,0,35.0481934379613
2029,cng,car,90.335,9.4,386,31.03,5,4.8,0,437,0,0,18.5672944858307
2029,cng,car,52.694,8.3,407,32.73,5,4.6,0,437,0,0,31.9423373375336
2029,cng,car,75.571,6.2,351,28.29,5,5.3,0,437,0,0,37.4870964526332
2029,cng,car,61.151,9.1,371,29.88,5,5,0,437,0,0,32.2850822754727
2030,cng,car,59.982,9.5,416,33.65,5,4.6,0,437,0,0,36.8128919904568
2030,cng,car,226.524,10.4,352,28.48,5,5.4,0,437,0,0,1.46682069339404
2030,cng,car,73.468,6.5,315,25.47,5,6.1,0,437,0,0,30.4879861613321
2030,cng,car,42.59,9.4,393,34.4,5,4.5,0,437,0,0,33.613035273321
2030,cng,car,90.281,9.4,386,31.19,5,5,0,437,0,0,19.0927865380734
2030,cng,car,52.64,8.3,407,32.9,5,4.7,0,437,0,0,31.2891209773008
2030,cng,car,75.516,6.2,351,28.43,5,5.5,0,437,0,0,38.1966423994536
2030,cng,car,61.096,9.1,371,30.03,5,5.2,0,437,0,0,32.1882095728393
2031,cng,car,89.906,9.4,386,31.3,5,4.8,0,437,0,0,20.3837680074789
2031,cng,car,52.265,8.3,407,33.01,5,4.6,0,437,0,0,32.7728407220671
2031,cng,car,75.141,6.2,351,28.53,5,5.3,0,437,0,0,40.7377627959615
2031,cng,car,60.721,9.1,371,30.13,5,5,0,437,0,0,33.8398764259076
2031,cng,car,112.937,9,401,32.6,5,4.7,0,437,0,0,9.73482484188305
2031,cng,suv,54.807,10.1,307,24.93,5,6.1,0,437,0,0,103.809551668663
2031,cng,suv,34.777,8.7,410,33.28,5,4.6,0,437,0,0,234.79369658693
2032,cng,car,89.53,9.4,386,31.41,5,4.8,0,437,0,0,21.6334783468903
2032,cng,car,51.89,8.3,407,33.12,5,4.5,0,437,0,0,34.2016707124835
2032,cng,car,74.766,6.2,351,28.62,5,5.2,0,437,0,0,43.2041127622579
2032,cng,car,60.346,9.1,371,30.23,5,4.9,0,437,0,0,35.435304219231
2032,cng,car,112.562,9,401,32.71,5,4.6,0,437,0,0,10.4132464202431
2032,cng,suv,54.432,10.1,307,25.01,5,6,0,437,0,0,107.903697166044
2032,cng,suv,34.402,8.7,410,33.39,5,4.5,0,437,0,0,237.641627643515
2033,cng,car,89.155,9.4,386,31.51,5,4.7,0,437,0,0,23.8215738057023
2033,cng,car,51.515,8.3,407,33.23,5,4.5,0,437,0,0,44.9231950375481
2033,cng,car,74.391,6.2,351,28.72,5,5.2,0,437,0,0,49.6203260944979
2033,cng,car,59.971,9.1,371,30.34,5,4.9,0,437,0,0,43.6744592906402
2033,cng,car,112.187,9,401,32.82,5,4.6,0,437,0,0,11.2822112491259
2033,cng,suv,54.057,10.1,307,25.09,5,6,0,437,0,0,138.195439632974
2033,cng,suv,34.027,8.7,410,33.5,5,4.5,0,437,0,0,349.866718862629
2034,cng,car,88.78,9.4,386,31.62,5,4.7,0,437,0,0,27.0562289010458
2034,cng,car,51.139,8.3,407,33.34,5,4.4,0,437,0,0,51.5630558494075
2034,cng,car,74.016,6.2,351,28.81,5,5.1,0,437,0,0,56.6331876993836
2034,cng,car,59.596,9.1,371,30.44,5,4.9,0,437,0,0,49.8468573205757
2034,cng,car,111.812,9,401,32.93,5,4.5,0,437,0,0,12.8574892220478
2034,cng,suv,53.682,10.1,307,25.18,5,5.9,0,437,0,0,157.743727558725
2034,cng,suv,33.652,8.7,410,33.61,5,4.4,0,437,0,0,399.161258057044
2015,conv,car,27.945,8.6,505,30.66,5,10.5055446836269,0,437,0,0,451.391225898133
2015,conv,car,30.245,7.3,451,27.42,5,11.7469000729395,0,437,0,0,446.125054500354
2015,conv,suv,43.46,6.9,535,22.02,5,14.6276112624886,0,437,0,0,471.154419065773
2015,conv,suv,45.46,6.9,508,20.91,5,15.4041128646581,0,437,0,0,519.795896374802
2015,conv,car,35.99,6.9,460,23.05,5,13.9739696312364,0,437,0,0,576.489679969281
2015,conv,suv,37.39,6.9,441,22.09,5,14.5812584880036,0,437,0,0,585.225429656761
2015,conv,car,49.345,6.9,516,21.45,5,15.016317016317,0,437,0,0,214.198623972336
2015,conv,car,31.89,7.6,589,27.48,5,11.7212518195051,0,437,0,0,595.423330074761
2015,conv,car,36.115,6.8,526,24.52,5,13.1362153344209,0,437,0,0,463.29831648838
2015,conv,car,42.345,6.5,499,23.27,5,13.8418564675548,0,437,0,0,296.600756577737
2015,conv,car,201.075,5.5,430,16.72,5,19.2643540669856,0,437,0,0,8.18849776363648
2015,conv,car,208.825,5.4,496,16.65,5,19.3453453453453,0,437,0,0,16.9756567620654
2015,conv,car,185.22,5.5,427,16.23,5,19.8459642637092,0,437,0,0,12.6671160031541
2015,conv,car,106.125,5.6,500,19.01,5,16.9437138348238,0,437,0,0,24.0735856387592
2015,conv,car,30.795,8.4,505,27.95,5,11.5241502683363,0,437,0,0,317.852173574959
2015,conv,car,33.495,9.4,581,38.09,5,8.45628773956419,0,437,0,0,283.320187443788
2015,conv,car,33.795,7.2,450,24.87,5,12.951347004423,0,437,0,0,434.266359696685
2015,conv,car,36.425,7.8,480,23.93,5,13.4600919348099,0,437,0,0,252.743092089455
2015,conv,car,37.325,7.8,476,23.69,5,13.5964542000844,0,437,0,0,279.048512881802
2015,conv,car,41.525,8.1,453,22.59,5,14.2585214696768,0,437,0,0,144.884019087988
2015,conv,car,45.725,7.5,632,25.58,5,12.5918686473808,0,437,0,0,240.566663179361
2015,conv,car,59.625,7.6,706,31.82,5,10.12256442489,0,437,0,0,126.798521781188
2015,conv,car,47.825,7.8,595,24.11,5,13.3596018249689,0,437,0,0,186.915476894775
2015,conv,car,57.225,6.5,529,21.44,5,15.0233208955224,0,437,0,0,172.650211753477
2015,conv,car,69.225,7.6,708,31.92,5,10.0908521303258,0,437,0,0,96.9288245465474
