fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,60.4749001986887,9.4,390.170895725835,32.0215180741819,5,4.89696619162531,0,437,0,0,413.549525317587
conv,car,18.99,7.6,606,30.11,5,13.6167386250415,0,437,0,0,201661.665004248
conv,minvan,30.123,7.4,526.068480233326,22.1825831021917,5,18.4834461175068,0,437,0,0,13083.9536272729
conv,suv,32.085,7.5,524,23.6576804257775,5,17.3305274987195,0,437,0,0,157595.766645819
conv,truck,32.045,7.27014359928267,555,19.63,5,20.8863983698421,0,437,0,0,28568.308311702
conv,van,23.1442818146557,8.72670552167553,504,27.9446740506105,5,14.6718605166234,0,437,0,0,3865.09618911318
ev,car,33.1371464553992,4.91960667275531,316,134.8,621,3.7,79.5,196.65,7500,0,13828.425627796
ev,minvan,38.801571596717,6.80081085893982,258,88.645284263709,727,5.57377391752927,93,196.65,7500,0,3063.00032748544
ev,suv,40.3266891824511,4.7,335,128.61,743.546453876641,3.9,95.1200886493952,196.65,7500,0,95610.911867582
ev,truck,49.842,6,263,73.921,937,6.7,119.9,196.65,7500,0,425.041782161568
fuelcell,car,25.1528998427846,8.5,433.128527740759,73.3736281580265,5,8.86989698290135,1.8,196.65,0,6,4677.83195370945
fuelcell,minvan,38.3507595503845,10.206182990113,459.109919824231,59.50635320167,5,11.0878986634857,1.9,196.65,0,6,1339.31013665168
fuelcell,suv,34.4859018582547,8.40052816332244,472,60.7392274292012,5,10.7838829930039,1.8,196.65,0,6,7022.41863480348
fuelcell,truck,49.3519716576335,8.2,473,40.8306648765301,5,15.6475621193898,1.8,196.65,0,6,343.111132629338
hybrid,car,28.7864111533466,8.79205191661577,800.047978871455,52.8195122480612,5,7.76231407829964,1.3,437,0,1.5,13319.8692221323
hybrid,suv,45.0469225900645,8,795.212771406937,43.9111864591064,5,9.33702856343761,1.6,437,0,1.5,4289.75949666815
hybrid,truck,28.8444202007784,10.4,667,50.9047369998559,5,8.05426033230918,1.3,437,0,1.5,395.67615960248
phev,car,28.2131520361664,7.5,820,47.7195606569183,315,4.6,17.3,275.31,7500,7.5,3885.32891494998
phev,minvan,32.9185579489383,8.5,799,40.3655763783643,315,5.69746713365401,17.3,275.31,7500,7.5,4872.95617422132
phev,suv,28.6220027215161,6.4,763,37.94,315,5.3,17.3,275.31,7500,7.5,82983.2108149445
phev,truck,32.5714431082062,7.7,829,36.8574321515812,315,6.5,17.3,275.31,7500,7.5,1658.46489454534
