fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
ev,car,26.586,4.2,330.969154606313,155.756,559,3.1,71.5,196.65,7500,0,269877.514791844
ev,minvan,38.2274141101481,5.1,276,77.575,937,6.3,119.9,196.65,7500,0,1713.80546553412
ev,suv,37.1832011970189,4.2,377,128.9,801.807748299794,3.8,102.625968537474,196.65,7500,0,341140.881976505
ev,truck,34.1811151606758,5.7,309,122.798,663,4,84.8,196.65,7500,0,837.848143643467
fuelcell,car,20.8012830787435,8.24569965303746,442,75.7734521387091,5,5.28446511193817,1.8,196.65,0,6,9235.93017880204
fuelcell,suv,31.9541637298981,7.8,463.764262531538,64.6599353932867,5,6.2,1.8,196.65,0,6,6527.00321246658
phev,car,85.3850433525209,7.9,755,46.7579572985322,315,5.3,17.3,275.31,7500,7.5,320.011195585281
phev,suv,26.633,5.7,692,39.2048331548287,487,5.4,26.8,275.31,7500,7.5,36660.4837007522
