fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
ev,car,26.044,4.2,331,155.756,559,3.1,71.5,196.65,7500,0,262231.680985242
ev,suv,36.4930615009821,4.2,377,129.048003114842,796,3.7,101.9,196.65,7500,0,391328.014707666
fuelcell,car,19.8537324447945,8.15342646818969,442,76.5411031376292,5,5.26454180651254,1.8,196.65,0,6,12046.2145875681
fuelcell,suv,25.957896645447,7.8,504.13093696961,65.7966802403749,5,6.1,1.8,196.65,0,6,5603.19562706541
phev,car,85.1404447956237,7.9,755,47.6861772515855,315,5.3,17.3,275.31,7500,7.5,397.150069340486
phev,suv,24.1990506008916,5.4,736,37.7038124294495,487,5.4,26.8,275.31,7500,7.5,4350.9760367008
