fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,27.56,10.6,390,42.4534581051551,5,4.64135473711222,0,437,0,0,745.290768438976
conv,car,22.41,7.6,533,28.0214910593616,5,13.0807541800071,0,437,0,0,333578.142701948
conv,minvan,30.123,7.4,526,20.6,5,17.424694518619,0,437,0,0,25435.6970266533
conv,suv,31.8563278225757,7.5,516,22.16,5,16.3555162983357,0,437,0,0,275088.128473601
conv,truck,31.6768016519273,7.2,561,18.33,5,19.7597846546955,0,437,0,0,58916.168649646
conv,van,23.1492423489248,8.72205259650756,504,26.0428473548857,5,13.8600458795998,0,437,0,0,7572.34857621972
ev,car,45.0034514375751,5.1,319.806960481557,138.513546774153,621,3.69890949212726,79.5,196.65,7500,0,63850.2410562302
ev,minvan,55.515,7.3,258,93.49,727,5.6,93,196.65,7500,0,3453.90060249241
ev,suv,73.4983717922415,5.27065296509572,254.579310640501,98.6676856005835,677.795598373491,5.6,86.7753192036673,196.65,7500,0,9487.85834127737
fuelcell,car,53.8874147293708,8.36537280228528,419.434523939551,63.4480512540822,5,22.8463096503486,1.56991048097879,196.65,0,6,979.996638593774
fuelcell,suv,46.4688170572282,10.4639418354088,363,58.6524071521384,5,24.6918255062264,1,196.65,0,6,410.003361406227
hybrid,car,30.095,8.9,805,44.0111642439218,5,8.12222078562526,1.3,437,0,1.5,22395.6610410942
hybrid,suv,47.3122355592743,8.37171210143922,785.639703594055,36.3263827970286,5,10.0625312712021,1.6,437,0,1.5,6783.62429733357
hybrid,truck,30.83,10.5,667,42.2048338493888,5,8.55802231214746,1.3,437,0,1.5,721.93846506498
phev,car,34.70674878921,7.7,625.240166748022,40.4398556228963,311,4.57704613782777,17.1,275.31,7500,7.5,2984.62518206892
phev,minvan,40.379,8.8,868,35.1839409646672,315,5.80131577721624,17.3,275.31,7500,7.5,4831.47834526131
phev,suv,35.556,6.8,861.390661456774,34.5834233209031,315,5.74260650578456,17.3,275.31,7500,7.5,23459.7289802948
phev,truck,39.948,7.8,829,30.04,315,7.2,17.3,275.31,7500,7.5,1031.16749237499
