fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
ev,car,26.766,4.2,330.96743176906,155.756,559,3.1,71.5,196.65,7500,0,260495.793818117
ev,minvan,38.499685993959,5.1,276,77.575,937,6.3,119.9,196.65,7500,0,1636.85712396445
ev,suv,37.3393350504702,4.26374269189821,377,128.9,817.616308286791,3.8,104.662110484173,196.65,7500,0,335567.891959128
ev,truck,34.7523767936603,5.68911918922819,275.691811627001,81.0745428456285,937,6.16053113770802,119.9,196.65,7500,0,2559.25519790009
fuelcell,car,21.1059668284808,8.25054750860972,442,75.5785751731747,5,5.34254746444054,1.8,196.65,0,6,8791.32636365634
fuelcell,suv,35.2656338920487,7.95406886195055,464,64.2141132554213,5,6.2,1.8,196.65,0,6,6851.75267434715
phev,car,85.4669376323196,7.9,755,46.4559324257485,315,5.3,17.3,275.31,7500,7.5,305.348789340439
phev,suv,26.713,5.7,736,39.29,487,5.4,26.8,275.31,7500,7.5,45747.1822827441
