fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,61.0492745772479,9.00898006258565,382.511374391435,30.9434704569947,5,4.99101398042529,0,437,0,0,360.616566399469
cng,suv,40.9178309891752,9.12921434772068,378.422087274836,30.7200429975231,5,5.05987251541502,0,437,0,0,338.603248255593
conv,car,18.957,7.6,672,31.577667087408,5,12.9838852741705,0,437,0,0,111909.879656822
conv,minvan,30.1018460388394,7.4,527.165136426838,23.2507491912226,5,17.6342312938931,0,437,0,0,7847.53793824401
conv,suv,32.0122892152336,7.5,530,24.8380373407984,5,16.5070210301803,0,437,0,0,93923.2320728566
conv,truck,32.225,7.4,551.074185096551,20.6155712106592,5,19.8878912520255,0,437,0,0,12447.9780903864
conv,van,23.8753668865464,8.49693269733925,504,28.9335711828535,5,14.170487994376,0,437,0,0,1776.88751299566
ev,car,29.015,4.2,353,153.895,604,3.2,77.3,196.65,7500,0,117794.707782237
ev,minvan,36.1016662133169,5.88671451014631,280.284513006807,85.4936489376795,902.24366316417,5.68377660312336,115.441918088881,196.65,7500,0,4845.1628285533
ev,suv,39.157,4.4,335,128.61,766,3.8,98,196.65,7500,0,193681.172714729
ev,truck,37.2437750543252,5.84257251669369,263.86345448841,74.1636307112431,937,6.57255272399546,119.9,196.65,7500,0,3573.20021151415
fuelcell,car,24.2846437207678,8.4,442,72.746827060841,5,6.78932416795194,1.8,196.65,0,6,6705.25720301801
fuelcell,minvan,36.8319099112017,10.202252219957,459.04504439914,61.2559492501888,5,8.19459159073747,1.9,196.65,0,6,1761.01975206708
fuelcell,suv,33.0913500727257,8.4,471.310054197188,62.4155904933115,5,8,1.8,196.65,0,6,11077.9478140977
fuelcell,truck,47.3829500652674,8.14864926347274,473,42.0070261047909,5,11.7459477904182,1.8,196.65,0,6,403.582168019399
hybrid,car,30.3507512556726,8.17304929611136,792.094420079416,53.1641941102251,5,7.71196110131477,1.4,437,0,1.5,7321.37043533984
hybrid,suv,43.7799934576968,8,775.627528575886,44.44,5,9.22592259225923,1.6,437,0,1.5,4088.37623507612
hybrid,truck,28.6421323682056,10.4,667,51.2321871756319,5,8.00297972441294,1.3,437,0,1.5,277.663808010286
phev,car,27.356799834811,7.36976730591941,788,48.3413344345934,315,4.77313276025627,17.3,275.31,7500,7.5,3220.72915419193
phev,minvan,32.133059389062,8.4,799,41.0741168911451,315,5.9,17.3,275.31,7500,7.5,3655.022942956
phev,suv,27.6343579957363,6.4,760,38.0276006297376,315,5.3816342703252,17.3,275.31,7500,7.5,65189.5473368452
phev,truck,31.7184536059001,7.6,829,37.3526722855128,315,6.64940315013149,17.3,275.31,7500,7.5,1221.33606830309
