year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2025,fuelcell,suv,33.6651765951774,9.91143342283097,480.41333237698,60.4284197108431,5,11.6214896865471,1.8,196.65,0,6,163.608578070847,1902.1943787752
2025,fuelcell,truck,51.181,8.2,473,40.36,5,17.3,1.8,196.65,0,6,113,158.971954021498
2025,hybrid,car,28.6011692377572,8.78263570595403,803.541580128182,52.8248597680869,5,7.76150559140285,1.3,437,0,1.5,112,7546.15234152376
2025,hybrid,suv,44.9013335528427,8.06900942592768,792.784128335736,43.5569610003914,5,9.41481062576666,1.53033413851566,437,0,1.5,173.492406968842,2424.88609321291
2025,hybrid,truck,28.924,10.4,667,50.87,5,8.05976017298997,1.3,437,0,1.5,131,226.722795338082
2025,phev,car,28.4942987603976,7.57965485282178,824.309684791059,47.4198009329345,314.209596510228,4.54845639256262,17.2604798255114,275.31,7500,7.5,115,1957.90552115219
2025,phev,minvan,32.8391937728818,8.6,806.877864073351,40.6807823379046,315,5.63370076877211,17.3,275.31,7500,7.5,230.283438861841,2671.0595951948
2025,phev,suv,29.2128920084205,6.5,781,41.0661941142826,315,5.3,17.3,275.31,7500,7.5,165,37861.8474155485
2025,phev,truck,32.914,7.7,829,36.64,315,6.5,17.3,275.31,7500,7.5,126,922.252449141127
2026,cng,car,62.0453601389765,9.4,391.417987995835,32.5468480101874,5,4.84934962215221,0,437,0,0,106.572977983909,154.28388665697
2026,conv,car,19.1838017789947,7.6,605.618674330964,30.1,5,13.6212624584718,0,437,0,0,117,106690.609326701
2026,conv,minvan,30.0974309559147,7.37374379862486,527.139034450027,22.076401343264,5,18.5719334135373,0,437,0,0,228.443642194798,6867.95270449259
2026,conv,suv,32.0693177968896,7.5,524,23.59,5,17.3802458668928,0,437,0,0,172,83085.8209785616
2026,conv,truck,31.920807817782,7.26373658770495,555.620094077371,19.5281017868925,5,20.9817178239606,0,437,0,0,142,15237.3616256427
2026,conv,van,23.3780786800414,8.72590529697709,504.802046876072,27.8199351947952,5,14.7379085037709,0,437,0,0,287.3015008592,2028.72122570495
2026,ev,car,33.5822346827938,4.94372047824336,334.080608459164,151.97078411265,625.410566649708,3.63650264256373,80.0641422458929,196.65,7500,0,114.061617918762,6529.41503851702
2026,ev,minvan,38.8583230598061,6.97183275312677,239.143902304222,92.210838248695,680.129128584781,5.37183275312677,87.0199233021962,196.65,7500,0,235.306271757746,965.933942535166
