fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,35.5938598791737,10.5327314877075,390,38.2411782215264,5,4.62710947061652,0,437,0,0,690.474956765543
conv,car,21.7297889057426,7.6,561,28.27,5,13.8530629192394,0,437,0,0,253936.634867546
conv,minvan,30.027494040366,7.41033313379184,526.081063229813,20.7942235848167,5,15.3747659737773,0,437,0,0,17455.5445108908
conv,suv,31.8482959211652,7.5,518,22.3384509963373,5,15.9979411462214,0,437,0,0,203302.833467109
conv,truck,31.5267964119972,7.3,556.144479384125,18.45,5,18.2992620607739,0,437,0,0,42137.7420979991
conv,van,23.1625212365865,8.76746163786778,504,26.1854469495212,5,14.1553570968964,0,437,0,0,5258.04717772748
ev,car,47.8976482430135,5.1,310.159915067004,128.598761577694,621,4,79.5,196.65,7500,0,38755.7492191975
ev,minvan,55.1687417231683,7.26532228512499,258,93.49,727,5.69077017749161,93,196.65,7500,0,7043.33588577902
ev,suv,51.8667455273485,4.89668120315464,330.415017624751,140.477764762022,578,3.94405567306316,74,196.65,7500,0,45108.9148950235
fuelcell,car,53.9618076063702,8.3854634245368,420,64.9234755093212,5,20.9498287823752,1.6,196.65,0,6,875.080833935469
fuelcell,suv,44.8804824429442,10.3258091937488,363,60.3786882887591,5,22.1968482312185,1,196.65,0,6,281.919166064531
hybrid,car,29.3857279019233,8.9,804.328187092988,45.1647474490761,5,8.25755285352014,1.3,437,0,1.5,17076.9066948615
hybrid,suv,46.2179727713159,8.25773058188863,792.096638096691,36.7170546192618,5,9.93273064566744,1.6,437,0,1.5,5182.18205456177
hybrid,truck,30.2274021513984,10.5,667,43.2017978889467,5,8.41455089919792,1.3,437,0,1.5,524.634172537691
phev,car,34.8584714325226,7.7,820,40.4804761589485,311,5.40113576894687,17.1,275.31,7500,7.5,2878.82983966478
phev,minvan,39.4095151534096,8.73991932748223,858.589022123105,35.3198122870487,315,6.15000594251356,17.3,275.31,7500,7.5,3222.66065348197
phev,suv,34.9793742637373,6.8,860.55350353956,36.0495432250636,315,6.05899583222436,17.3,275.31,7500,7.5,18493.6160271759
phev,truck,38.9842484539045,7.8,829,30.8592864810062,315,7.13115329857822,17.3,275.31,7500,7.5,1653.89347967739
